C1/3,a_mm
4.39936E-05,55.21813765
4.47719E-05,56.06686403
4.50672E-05,56.63883181
4.56599E-05,56.84178812
4.57191E-05,56.63883181
4.58572E-05,56.62038124
4.61885E-05,57.43220648
4.65639E-05,57.67206393
4.67363E-05,57.91192139
4.6579E-05,57.81966852
4.70309E-05,57.8381191
4.73059E-05,57.94882254
4.7288E-05,57.94882254
4.71287E-05,57.91192139
4.70677E-05,58.13332827
4.71607E-05,58.18867999
4.78868E-05,58.18867999
4.74359E-05,58.35473515
4.78078E-05,58.3916363
4.79491E-05,58.52079032
4.79632E-05,58.02262483
4.79111E-05,58.66839491
4.80763E-05,59.05585695
4.83986E-05,58.87135121
4.79946E-05,58.81599949
4.84563E-05,58.98205466
4.87062E-05,58.7421972
4.84587E-05,58.61304318
4.81775E-05,59.24036269
4.8534E-05,59.05585695
4.86636E-05,59.16656039
4.86175E-05,59.0927581
4.8817E-05,59.20346154
4.81821E-05,59.20346154
4.83811E-05,59.18501096
4.88958E-05,59.55402244
4.86524E-05,59.22191211
4.8746E-05,59.24036269
4.91323E-05,59.51712129
4.88741E-05,59.0927581
4.83653E-05,59.25881326
4.87675E-05,59.59092358
4.93873E-05,59.29571441
4.92285E-05,59.12965924
4.89596E-05,59.42486842
4.90492E-05,59.44331899
4.95024E-05,59.38796727
4.92918E-05,59.75697874
4.92825E-05,59.42486842
4.8986E-05,59.27726383
4.9266E-05,59.22191211
4.91732E-05,59.46176957
4.93977E-05,59.18501096
4.9253E-05,59.40641785
4.93579E-05,59.51712129
4.94566E-05,59.81233047
4.96365E-05,59.84923161
4.95888E-05,59.6462753
4.97613E-05,59.94148448
4.94009E-05,59.66472588
4.95018E-05,59.90458333
4.95364E-05,59.70162702
4.96877E-05,59.75697874
4.96903E-05,59.97838563
4.95299E-05,59.55402244
4.95476E-05,60.01528677
4.98014E-05,59.62782473
4.96876E-05,59.55402244
4.96166E-05,59.88613276
4.99183E-05,59.22191211
4.9886E-05,59.51712129
5.00306E-05,59.42486842
4.96813E-05,59.53557186
4.999E-05,59.79387989
5.01546E-05,59.55402244
5.00897E-05,59.6462753
5.00113E-05,59.55402244
5.01169E-05,59.97838563
5.02267E-05,60.07063849
5.02386E-05,59.77542932
4.9979E-05,59.53557186
5.00451E-05,59.44331899
5.01293E-05,60.03373735
4.9874E-05,59.49867071
5.03112E-05,59.73852817
5.06825E-05,60.01528677
5.0214E-05,60.03373735
5.0459E-05,59.94148448
5.01225E-05,59.55402244
5.06047E-05,59.9968362
5.02887E-05,59.9968362
5.05212E-05,60.08908907
5.04741E-05,59.94148448
5.06334E-05,59.94148448
5.08658E-05,61.43598094
5.09852E-05,60.05218792
5.11918E-05,60.19979251
5.1108E-05,60.18134194
5.16098E-05,60.25514423
5.14097E-05,60.29204538
5.17105E-05,60.25514423
5.16861E-05,60.80866144
5.19886E-05,60.36584767
5.17674E-05,60.84556258
5.18978E-05,61.34372807
5.20532E-05,60.99316717
5.21583E-05,60.93781545
5.23349E-05,60.93781545
5.19493E-05,61.12232119
5.22681E-05,61.08542004
5.19847E-05,61.41753036
5.26471E-05,61.47288208
5.24313E-05,61.19612348
5.21689E-05,61.39907979
5.23868E-05,61.41753036
5.29802E-05,61.21457405
5.25395E-05,61.52823381
5.26703E-05,61.26992578
5.27942E-05,61.78654183
5.29671E-05,62.11865216
5.30174E-05,61.98949814
5.28301E-05,61.8787947
5.31599E-05,62.17400388
5.34255E-05,62.00794872
5.30871E-05,61.50978323
5.27402E-05,61.67583839
5.33678E-05,61.91569585
5.29213E-05,62.21090503
5.36733E-05,62.10020159
5.34478E-05,62.04484986
5.35905E-05,62.15555331
5.32936E-05,62.30315789
5.36284E-05,61.97104757
5.36634E-05,62.2293556
5.3685E-05,62.10020159
5.36257E-05,61.8787947
5.39448E-05,62.35850961
5.38431E-05,62.35850961
5.37397E-05,62.30315789
5.39952E-05,62.28470732
5.4027E-05,62.17400388
5.36092E-05,62.37696019
5.35587E-05,62.46921306
5.38586E-05,62.52456478
5.3945E-05,62.56146592
5.38405E-05,62.37696019
5.39317E-05,62.28470732
5.41819E-05,62.30315789
5.38219E-05,62.30315789
5.44929E-05,62.28470732
5.42258E-05,62.35850961
5.39834E-05,62.26625675
5.42806E-05,62.48766363
5.371E-05,62.19245445
5.42607E-05,62.34005904
5.38204E-05,62.32160847
5.44966E-05,62.43231191
5.47036E-05,62.41386134
5.4465E-05,62.70907051
5.45478E-05,62.45076248
5.4434E-05,62.81977395
5.486E-05,62.26625675
5.43091E-05,62.63526822
5.38732E-05,62.59836707
5.4168E-05,62.5061142
5.50987E-05,62.35850961
