Image Number,Distance in mm,Distance in pixels
1(1).jpg,4.322415978268914,141.515899122807
1(2).jpg,4.659417901998356,152.54934210526318
1(3).jpg,4.498243068910362,147.27247807017545
1(4).jpg,5.494596582545231,179.89309210526318
1(5).jpg,4.835244992639804,158.3059210526316
1(6).jpg,5.978121081809212,195.72368421052633
1(7).jpg,5.86090302138158,191.8859649122807
1(8).jpg,5.392030779671053,176.53508771929825
1(9).jpg,6.227209460217928,203.87883771929825
1(10).jpg,6.227209460217928,203.87883771929825
1(11).jpg,6.578863641500823,215.3919956140351
1(12).jpg,6.022077854469574,197.16282894736844
1(13).jpg,6.9012133076768105,225.94572368421055
1(14).jpg,6.109991399790297,200.04111842105266
1(15).jpg,6.97447459544408,228.34429824561406
1(16).jpg,6.622820414161185,216.8311403508772
1(17).jpg,6.8719087925699025,224.98629385964915
1(18).jpg,6.578863641500823,215.3919956140351
1(19).jpg,7.282172004066613,238.4183114035088
1(20).jpg,6.7839952472491785,222.10800438596493
1(21).jpg,6.915865565230264,226.42543859649123
1(22).jpg,6.373732035752468,208.6759868421053
1(23).jpg,6.7693429896957245,221.62828947368422
1(24).jpg,7.282172004066613,238.4183114035088
1(25).jpg,7.208910716299343,236.0197368421053
1(26).jpg,7.399390064494245,242.2560307017544
1(27).jpg,7.282172004066613,238.4183114035088
1(28).jpg,7.765696503330593,254.24890350877195
1(29).jpg,7.340781034280428,240.3371710526316
1(30).jpg,7.619173927796053,249.45175438596493
1(31).jpg,6.710733959481909,219.70942982456143
1(32).jpg,8.512961638556744,278.7143640350877
1(33).jpg,8.014784881739311,262.4040570175439
1(34).jpg,7.721739730670231,252.80975877192984
1(35).jpg,7.45799909470806,244.1748903508772
1(36).jpg,7.780348760884047,254.72861842105266
1(37).jpg,7.633826185349508,249.93146929824564
1(38).jpg,7.9268713364185865,259.5257675438597
1(39).jpg,7.8389577910978625,256.64747807017545
1(40).jpg,7.575217155135691,248.01260964912282
1(41).jpg,7.501955867368422,245.61403508771932
1(42).jpg,7.487303609814968,245.1343201754386
1(43).jpg,8.38109132057566,274.3969298245614
1(44).jpg,7.882914563758224,258.08662280701753
1(45).jpg,7.428694579601152,243.2154605263158
1(46).jpg,8.000132624185856,261.9243421052632
1(47).jpg,7.38473780694079,241.7763157894737
1(48).jpg,8.175959714827304,267.6809210526316
1(49).jpg,7.8389577910978625,256.64747807017545
1(50).jpg,8.014784881739311,262.4040570175439
1(51).jpg,8.249221002594574,270.0794956140351
1(52).jpg,7.45799909470806,244.1748903508772
1(53).jpg,7.414042322047698,242.7357456140351
1(54).jpg,8.337134547915298,272.95778508771934
1(55).jpg,8.190611972380756,268.1606359649123
1(56).jpg,8.23456874504112,269.5997807017544
1(57).jpg,8.83531130473273,289.2680921052632
1(58).jpg,8.263873260148026,270.5592105263158
1(59).jpg,7.663130700456415,250.89089912280704
1(60).jpg,8.542266153663652,279.67379385964915
1(61).jpg,8.674136471644738,283.99122807017545
1(62).jpg,8.337134547915298,272.95778508771934
1(63).jpg,8.263873260148026,270.5592105263158
1(64).jpg,8.366439063022204,273.9172149122807
1(65).jpg,8.132002942166942,266.2417763157895
1(66).jpg,8.38109132057566,274.3969298245614
1(67).jpg,8.542266153663652,279.67379385964915
1(68).jpg,8.102698427060034,265.2823464912281
1(69).jpg,8.073393911953126,264.3229166666667
1(70).jpg,7.663130700456415,250.89089912280704
1(71).jpg,8.630179698984376,282.55208333333337
1(72).jpg,8.659484214091284,283.51151315789474
1(73).jpg,8.893920334946547,291.186951754386
1(74).jpg,8.644831956537828,283.031798245614
1(75).jpg,8.762050016965462,286.8695175438597
1(76).jpg,8.42504809323602,275.8360745614035
1(77).jpg,8.9085725925,291.6666666666667
1(78).jpg,8.23456874504112,269.5997807017544
1(79).jpg,8.102698427060034,265.2823464912281
1(80).jpg,8.512961638556744,278.7143640350877
1(81).jpg,9.12835645580181,298.8623903508772
1(82).jpg,8.776702274518916,287.3492324561404
1(83).jpg,8.542266153663652,279.67379385964915
1(84).jpg,8.058741654399672,263.843201754386
1(85).jpg,8.762050016965462,286.8695175438597
1(86).jpg,8.674136471644738,283.99122807017545
1(87).jpg,8.600875183877468,281.59265350877195
1(88).jpg,8.556918411217106,280.15350877192986
1(89).jpg,8.688788729198192,284.47094298245617
1(90).jpg,8.879268077393093,290.70723684210526
1(91).jpg,8.630179698984376,282.55208333333337
1(92).jpg,8.98183388026727,294.0652412280702
1(93).jpg,8.732745501858552,285.91008771929825
1(94).jpg,8.952529365160363,293.10581140350877
1(95).jpg,8.49830938100329,278.234649122807
1(96).jpg,8.49830938100329,278.234649122807
1(97).jpg,8.659484214091284,283.51151315789474
1(98).jpg,9.143008713355265,299.3421052631579
1(99).jpg,8.86461581983964,290.2275219298246
1(100).jpg,9.084399683141449,297.4232456140351
1(101).jpg,8.879268077393093,290.70723684210526
1(102).jpg,8.79135453207237,287.8289473684211
1(103).jpg,8.806006789625823,288.30866228070175
1(104).jpg,8.93787710760691,292.6260964912281
1(105).jpg,8.79135453207237,287.8289473684211
1(106).jpg,9.274879031336349,303.6595394736842
1(107).jpg,9.025790652927633,295.5043859649123
1(108).jpg,9.260226773782895,303.1798245614035
1(109).jpg,9.201617743569079,301.2609649122807
1(110).jpg,9.274879031336349,303.6595394736842
1(111).jpg,9.348140319103619,306.0581140350877
1(112).jpg,9.245574516229443,302.70010964912285
1(113).jpg,9.523967409745067,311.81469298245617
1(114).jpg,9.392097091763983,307.49725877192986
1(116).jpg,9.362792576657073,306.53782894736844
1(117).jpg,9.436053864424343,308.93640350877195
1(118).jpg,9.172313228462173,300.30153508771934
1(119).jpg,9.97818739390214,326.6858552631579
1(120).jpg,10.05144868166941,329.0844298245614
1(121).jpg,9.538619667298521,312.2944078947369
1(122).jpg,9.890273848581415,323.8075657894737
1(123).jpg,9.97818739390214,326.6858552631579
1(124).jpg,9.406749349317435,307.9769736842105
1(125).jpg,9.685142242833061,317.0915570175439
1(126).jpg,10.007491909009048,327.64528508771934
1(127).jpg,10.315189317631582,337.7192982456141
1(128).jpg,10.0221441665625,328.125
1(129).jpg,9.890273848581415,323.8075657894737
1(130).jpg,9.743751273046875,319.0104166666667
1(131).jpg,9.963535136348685,326.2061403508772
1(132).jpg,10.241928029864312,335.3207236842106
1(133).jpg,10.271232544971218,336.28015350877195
1(134).jpg,10.197971257203948,333.88157894736844
1(135).jpg,9.97818739390214,326.6858552631579
1(136).jpg,10.329841575185034,338.19901315789474
1(137).jpg,10.066100939222864,329.56414473684214
1(138).jpg,10.12470996943668,331.48300438596493
1(139).jpg,10.197971257203948,333.88157894736844
1(140).jpg,10.403102862952304,340.59758771929825
1(141).jpg,10.227275772310858,334.84100877192986
1(142).jpg,10.359146090291942,339.15844298245617
1(143).jpg,10.60823446870066,347.3135964912281
1(144).jpg,10.491016408273028,343.47587719298247
1(145).jpg,10.241928029864312,335.3207236842106
