Image Number,Distance in mm,Distance in pixels
1(1).jpg,3.5048200067861845,114.74780701754386
1(2).jpg,4.337068235822369,141.99561403508773
1(3).jpg,5.075542016516448,166.1732456140351
1(4).jpg,5.63818870656908,184.59429824561406
1(5).jpg,5.532692452184211,181.140350877193
1(6).jpg,5.966399275766449,195.33991228070178
1(7).jpg,5.7436849609539475,188.0482456140351
1(8).jpg,5.7436849609539475,188.0482456140351
1(9).jpg,5.767128573039474,188.81578947368422
1(10).jpg,6.27116623287829,205.31798245614036
1(11).jpg,5.907790245552632,193.42105263157896
1(12).jpg,6.482158741648027,212.22587719298247
1(13).jpg,6.376662487263159,208.77192982456143
1(14).jpg,6.657985832289475,217.9824561403509
1(15).jpg,6.845534728973685,224.12280701754386
1(16).jpg,6.575933189990132,215.29605263157896
1(17).jpg,6.868978341059211,224.890350877193
1(18).jpg,7.138579880042764,233.71710526315792
1(19).jpg,7.079970849828948,231.7982456140351
1(20).jpg,7.150301686085527,234.10087719298247
1(21).jpg,7.150301686085527,234.10087719298247
1(22).jpg,7.079970849828948,231.7982456140351
1(23).jpg,7.068249043786185,231.41447368421055
1(24).jpg,7.021361819615133,229.8793859649123
1(25).jpg,7.19718891025658,235.6359649122807
1(26).jpg,7.361294194855264,241.00877192982458
1(27).jpg,7.771557406351975,254.44078947368422
1(28).jpg,7.466790449240133,244.46271929824564
1(29).jpg,7.3495723888125015,240.62500000000003
1(30).jpg,7.255797940470396,237.55482456140354
1(31).jpg,7.771557406351975,254.44078947368422
1(32).jpg,7.466790449240133,244.46271929824564
1(33).jpg,7.83016643656579,256.359649122807
1(34).jpg,7.4785122552828955,244.8464912280702
1(35).jpg,7.490234061325659,245.23026315789477
1(36).jpg,7.6660611519671065,250.98684210526318
1(37).jpg,7.490234061325659,245.23026315789477
1(38).jpg,7.619173927796053,249.45175438596493
1(39).jpg,7.7950010184375005,255.20833333333334
1(40).jpg,7.525399479453949,246.38157894736844
1(41).jpg,7.466790449240133,244.46271929824564
1(42).jpg,7.689504764052633,251.7543859649123
1(43).jpg,7.560564897582237,247.5328947368421
1(44).jpg,7.994271721164475,261.7324561403509
