Image Number,Distance in mm,Distance in pixels
1(1).jpg,1.3149717513333332,38.888888888888886
1(2).jpg,1.730225988596491,51.16959064327485
1(3).jpg,2.076271186315789,61.40350877192982
1(4).jpg,2.110875706087719,62.42690058479532
1(5).jpg,2.1973870055175437,64.98538011695906
1(6).jpg,2.0935734462017543,61.91520467836257
1(7).jpg,2.3185028247192982,68.5672514619883
1(8).jpg,2.6645480224385962,78.80116959064327
1(9).jpg,2.8548728811842103,84.4298245614035
1(10).jpg,2.647245762552631,78.28947368421052
1(11).jpg,3.166313559131579,93.64035087719299
1(12).jpg,2.7683615817543856,81.87134502923976
1(13).jpg,2.9586864404999997,87.5
1(14).jpg,2.837570621298245,83.91812865497076
1(15).jpg,3.2355225986754386,95.68713450292398
1(16).jpg,2.975988700385965,88.01169590643275
1(17).jpg,3.3912429376491224,100.29239766081871
1(18).jpg,3.114406779473684,92.10526315789474
1(19).jpg,3.166313559131579,93.64035087719299
1(20).jpg,3.4258474574210522,101.3157894736842
1(21).jpg,3.3912429376491224,100.29239766081871
1(22).jpg,3.5469632766228067,104.89766081871345
1(23).jpg,3.4258474574210522,101.3157894736842
1(24).jpg,3.719985875482456,110.01461988304094
1(25).jpg,3.477754237078947,102.85087719298245
1(26).jpg,3.5469632766228067,104.89766081871345
1(27).jpg,3.8064971749122805,112.57309941520468
1(28).jpg,3.754590395254386,111.03801169590643
1(29).jpg,3.8411016946842103,113.59649122807018
1(30).jpg,3.8584039545701754,114.10818713450293
1(31).jpg,4.01412429354386,118.71345029239767
1(32).jpg,3.7718926551403507,111.54970760233918
1(33).jpg,4.221751412175438,124.85380116959064
1(34).jpg,3.8064971749122805,112.57309941520468
1(35).jpg,4.135240112745613,122.2953216374269
1(36).jpg,3.8411016946842103,113.59649122807018
1(37).jpg,4.0487288133157895,119.73684210526316
1(38).jpg,4.01412429354386,118.71345029239767
1(39).jpg,4.187146892403509,123.83040935672514
1(40).jpg,4.221751412175438,124.85380116959064
1(41).jpg,4.273658191833333,126.38888888888889
1(42).jpg,4.273658191833333,126.38888888888889
1(43).jpg,4.3947740110350875,129.97076023391813
1(44).jpg,4.031426553429824,119.22514619883042
1(45).jpg,4.221751412175438,124.85380116959064
1(46).jpg,3.9622175138859648,117.17836257309942
1(47).jpg,4.221751412175438,124.85380116959064
1(48).jpg,4.01412429354386,118.71345029239767
1(49).jpg,4.412076270921053,130.48245614035088
1(50).jpg,4.083333333087719,120.76023391812865
1(51).jpg,4.325564971491228,127.92397660818713
1(52).jpg,4.412076270921053,130.48245614035088
1(53).jpg,4.342867231377193,128.43567251461988
1(54).jpg,4.481285310464912,132.52923976608187
1(55).jpg,4.083333333087719,120.76023391812865
1(56).jpg,4.083333333087719,120.76023391812865
1(57).jpg,4.100635592973684,121.2719298245614
1(58).jpg,4.187146892403509,123.83040935672514
1(59).jpg,4.117937852859649,121.78362573099415
1(60).jpg,4.429378530807018,130.99415204678363
1(61).jpg,4.342867231377193,128.43567251461988
1(62).jpg,4.290960451719298,126.90058479532163
1(63).jpg,4.377471751149122,129.45906432748538
1(64).jpg,4.5158898302368415,133.55263157894737
1(65).jpg,4.290960451719298,126.90058479532163
1(66).jpg,4.550494350008772,134.57602339181287
1(67).jpg,4.239053672061403,125.36549707602339
1(68).jpg,4.308262711605263,127.41228070175438
1(69).jpg,4.377471751149122,129.45906432748538
1(70).jpg,4.100635592973684,121.2719298245614
1(71).jpg,4.290960451719298,126.90058479532163
1(72).jpg,4.325564971491228,127.92397660818713
1(73).jpg,4.3947740110350875,129.97076023391813
1(74).jpg,4.325564971491228,127.92397660818713
1(75).jpg,4.239053672061403,125.36549707602339
1(76).jpg,4.550494350008772,134.57602339181287
1(77).jpg,4.256355931947368,125.87719298245614
1(78).jpg,4.3947740110350875,129.97076023391813
1(79).jpg,4.239053672061403,125.36549707602339
1(80).jpg,4.498587570350877,133.04093567251462
1(81).jpg,4.481285310464912,132.52923976608187
1(82).jpg,4.290960451719298,126.90058479532163
1(83).jpg,4.567796609894737,135.08771929824562
1(84).jpg,4.342867231377193,128.43567251461988
1(85).jpg,4.360169491263158,128.94736842105263
1(86).jpg,4.3947740110350875,129.97076023391813
1(87).jpg,4.342867231377193,128.43567251461988
1(88).jpg,4.239053672061403,125.36549707602339
1(89).jpg,4.6370056494385965,137.1345029239766
1(90).jpg,4.377471751149122,129.45906432748538
1(91).jpg,4.256355931947368,125.87719298245614
1(92).jpg,4.481285310464912,132.52923976608187
1(93).jpg,4.429378530807018,130.99415204678363
1(94).jpg,4.602401129666666,136.11111111111111
1(95).jpg,4.429378530807018,130.99415204678363
1(96).jpg,4.567796609894737,135.08771929824562
1(97).jpg,4.6370056494385965,137.1345029239766
1(98).jpg,4.481285310464912,132.52923976608187
1(99).jpg,4.567796609894737,135.08771929824562
1(100).jpg,2.975988700385965,88.01169590643275
1(101).jpg,4.792725988412281,141.73976608187135
1(102).jpg,4.688912429096491,138.66959064327486
1(103).jpg,4.533192090122807,134.06432748538012
1(104).jpg,4.481285310464912,132.52923976608187
1(105).jpg,4.585098869780702,135.59941520467837
1(106).jpg,4.758121468640351,140.71637426900585
1(107).jpg,4.706214688982456,139.1812865497076
1(108).jpg,4.8792372878421055,144.2982456140351
1(109).jpg,4.567796609894737,135.08771929824562
1(110).jpg,4.96574858727193,146.85672514619884
1(111).jpg,5.00035310704386,147.88011695906434
1(112).jpg,5.069562146587719,149.92690058479533
1(113).jpg,5.086864406473684,150.43859649122808
1(114).jpg,5.069562146587719,149.92690058479533
1(115).jpg,5.502118643736842,162.71929824561403
1(116).jpg,5.657838982710526,167.32456140350877
1(117).jpg,5.623234462938596,166.30116959064327
1(118).jpg,5.588629943166667,165.27777777777777
1(119).jpg,5.519420903622806,163.23099415204678
1(120).jpg,5.225282485561403,154.53216374269005
1(121).jpg,5.95197740077193,176.0233918128655
1(122).jpg,5.969279660657895,176.53508771929825
1(123).jpg,5.727048022254386,169.37134502923976
1(124).jpg,5.692443502482456,168.34795321637426
1(125).jpg,5.900070621114035,174.48830409356725
1(126).jpg,5.709745762368421,168.859649122807
1(127).jpg,5.95197740077193,176.0233918128655
1(128).jpg,5.900070621114035,174.48830409356725
1(129).jpg,6.021186440315789,178.0701754385965
1(130).jpg,6.038488700201754,178.58187134502924
1(131).jpg,5.95197740077193,176.0233918128655
1(132).jpg,5.536723163508771,163.74269005847952
1(133).jpg,5.467514123964912,161.69590643274853
1(134).jpg,5.519420903622806,163.23099415204678
1(135).jpg,6.0557909600877196,179.093567251462
1(136).jpg,5.640536722824561,166.81286549707602
1(137).jpg,5.900070621114035,174.48830409356725
1(138).jpg,5.8135593216842105,171.9298245614035
1(139).jpg,6.021186440315789,178.0701754385965
1(140).jpg,5.969279660657895,176.53508771929825
1(141).jpg,5.986581920543859,177.046783625731
1(142).jpg,5.67514124259649,167.83625730994152
1(143).jpg,6.090395479859649,180.1169590643275
1(144).jpg,5.9173728809999995,175.0
1(145).jpg,5.986581920543859,177.046783625731
1(146).jpg,5.865466101342105,173.46491228070175
1(147).jpg,6.003884180429824,177.55847953216374
1(148).jpg,5.9173728809999995,175.0
1(149).jpg,5.796257061798245,171.41812865497076
1(150).jpg,6.073093219973684,179.60526315789474
1(151).jpg,5.969279660657895,176.53508771929825
1(152).jpg,6.021186440315789,178.0701754385965
1(153).jpg,6.073093219973684,179.60526315789474
1(154).jpg,6.073093219973684,179.60526315789474
1(155).jpg,5.986581920543859,177.046783625731
1(156).jpg,6.073093219973684,179.60526315789474
1(157).jpg,6.021186440315789,178.0701754385965
1(158).jpg,6.107697739745614,180.62865497076024
