Image Number,Distance in mm,Distance in pixels
1(1).jpg,1.3138903600904606,38.85690789473684
1(2).jpg,1.686970338881579,49.890350877192986
1(3).jpg,1.8653998939555922,55.167214912280706
1(4).jpg,1.9465042371710526,57.56578947368421
1(5).jpg,2.0762711863157897,61.40350877192983
1(6).jpg,2.238479872746711,66.20065789473685
1(7).jpg,2.238479872746711,66.20065789473685
1(8).jpg,2.77376853796875,82.03125
1(9).jpg,2.8224311438980263,83.47039473684211
1(10).jpg,2.319584215962171,68.59923245614036
1(11).jpg,2.3033633473190793,68.11951754385966
1(12).jpg,2.8386520125411185,83.95010964912281
1(13).jpg,2.8224311438980263,83.47039473684211
1(14).jpg,2.887314618470395,85.38925438596492
1(15).jpg,2.9521980930427634,87.30811403508773
1(16).jpg,3.0333024362582237,89.70668859649123
1(17).jpg,2.871093749827303,84.90953947368422
1(18).jpg,2.935977224399671,86.82839912280703
1(19).jpg,3.0819650421875,91.14583333333334
1(20).jpg,3.633474576052632,107.4561403508772
1(21).jpg,3.3414989404769737,98.82127192982456
1(22).jpg,3.5848119701233556,106.0169956140351
1(23).jpg,3.373940677763158,99.78070175438597
1(24).jpg,3.2928363345476974,97.38212719298247
1(25).jpg,3.6821371819819078,108.8952850877193
1(26).jpg,3.617253707409539,106.9764254385965
1(27).jpg,3.519928495550987,104.09813596491229
1(28).jpg,3.2766154659046056,96.90241228070177
1(29).jpg,3.39016154640625,100.26041666666667
1(30).jpg,3.6983580506250004,109.37500000000001
1(31).jpg,3.9578919489144737,117.05043859649123
1(32).jpg,3.941671080271382,116.57072368421053
1(33).jpg,3.941671080271382,116.57072368421053
1(34).jpg,3.617253707409539,106.9764254385965
1(35).jpg,3.6010328387664474,106.4967105263158
1(36).jpg,3.9578919489144737,117.05043859649123
1(37).jpg,3.665916313338816,108.4155701754386
1(38).jpg,3.763241525197368,111.29385964912281
1(39).jpg,3.7470206565542763,110.81414473684211
1(40).jpg,3.633474576052632,107.4561403508772
1(41).jpg,3.665916313338816,108.4155701754386
1(42).jpg,3.9254502116282897,116.09100877192984
1(43).jpg,4.0389962921299345,119.44901315789474
1(44).jpg,4.022775423486842,118.96929824561404
1(45).jpg,4.120100635345395,121.84758771929826
1(46).jpg,4.201204978560855,124.24616228070177
1(47).jpg,4.055217160773027,119.92872807017545
1(48).jpg,3.6496954446957237,107.9358552631579
1(49).jpg,4.136321503988487,122.32730263157896
1(50).jpg,3.990333686200658,118.00986842105264
1(51).jpg,4.363413664991776,129.04331140350877
1(52).jpg,4.201204978560855,124.24616228070177
1(53).jpg,4.574284957351973,135.2796052631579
1(54).jpg,4.444518008207237,131.4418859649123
1(55).jpg,4.08765889805921,120.88815789473685
1(56).jpg,4.136321503988487,122.32730263157896
1(57).jpg,3.763241525197368,111.29385964912281
1(58).jpg,4.120100635345395,121.84758771929826
1(59).jpg,4.136321503988487,122.32730263157896
1(60).jpg,4.184984109917763,123.76644736842105
1(61).jpg,4.168763241274671,123.28673245614036
1(62).jpg,3.9578919489144737,117.05043859649123
1(63).jpg,4.103879766702303,121.36787280701755
1(64).jpg,4.168763241274671,123.28673245614036
1(65).jpg,4.055217160773027,119.92872807017545
1(66).jpg,4.103879766702303,121.36787280701755
1(67).jpg,4.298530190419408,127.12445175438597
1(68).jpg,4.330971927705592,128.08388157894737
1(69).jpg,4.412076270921053,130.48245614035088
1(70).jpg,4.460738876850329,131.921600877193
1(71).jpg,4.249867584490132,125.68530701754386
1(72).jpg,4.152542372631579,122.80701754385966
1(73).jpg,4.282309321776316,126.64473684210527
1(74).jpg,4.363413664991776,129.04331140350877
1(75).jpg,4.08765889805921,120.88815789473685
1(76).jpg,4.363413664991776,129.04331140350877
1(77).jpg,4.071438029416119,120.40844298245615
