Image Number,Distance in mm,Distance in pixels
1(1).jpg,4.040675607125823,105.05756578947368
1(2).jpg,5.073907725842928,131.921600877193
1(3).jpg,5.8119306677837175,151.11019736842107
1(4).jpg,6.107139844560034,158.7856359649123
1(5).jpg,5.830381241332237,151.58991228070175
1(6).jpg,5.848831814880757,152.06962719298247
1(7).jpg,6.476151315530428,168.37993421052633
1(8).jpg,6.882063933597862,178.93366228070175
1(9).jpg,7.177273110374178,186.609100877193
1(10).jpg,6.9743168013404615,181.3322368421053
1(11).jpg,7.140371963277139,185.6496710526316
1(12).jpg,7.140371963277139,185.6496710526316
1(13).jpg,7.417130566504935,192.8453947368421
1(14).jpg,7.509383434247533,195.24396929824562
1(15).jpg,7.287976551665296,189.4873903508772
1(16).jpg,7.620086875538652,198.12225877192984
1(17).jpg,8.062900640703125,209.63541666666669
1(18).jpg,7.546284581344573,196.20339912280704
1(19).jpg,8.099801787800166,210.59484649122808
1(20).jpg,8.007548920057566,208.19627192982458
1(21).jpg,7.878394905217928,204.83826754385967
1(22).jpg,8.192054655542764,212.9934210526316
1(23).jpg,7.859944331669408,204.35855263157896
1(24).jpg,8.136702934897205,211.55427631578948
1(25).jpg,7.878394905217928,204.83826754385967
1(26).jpg,7.970647772960527,207.23684210526318
1(27).jpg,8.192054655542764,212.9934210526316
1(28).jpg,8.007548920057566,208.19627192982458
1(29).jpg,8.228955802639803,213.952850877193
1(30).jpg,8.3212086703824,216.3514254385965
1(31).jpg,8.339659243930921,216.8311403508772
1(32).jpg,8.376560391027962,217.7905701754386
1(33).jpg,8.302758096833882,215.8717105263158
1(34).jpg,8.339659243930921,216.8311403508772
1(35).jpg,8.413461538125,218.75000000000003
1(36).jpg,8.302758096833882,215.8717105263158
1(37).jpg,8.376560391027962,217.7905701754386
1(38).jpg,8.450362685222041,219.70942982456143
1(39).jpg,8.5057144058676,221.14857456140354
1(40).jpg,8.48726383231908,220.66885964912282
1(41).jpg,8.579516700061678,223.06743421052633
1(42).jpg,8.708670714901317,226.42543859649123
1(43).jpg,8.561066126513158,222.58771929824562
1(44).jpg,8.671769567804276,225.46600877192984
1(45).jpg,8.690220141352796,225.94572368421055
1(46).jpg,8.542615552964639,222.10800438596493
1(47).jpg,8.561066126513158,222.58771929824562
1(48).jpg,8.690220141352796,225.94572368421055
1(49).jpg,8.893176450386514,231.22258771929828
1(50).jpg,8.413461538125,218.75000000000003
1(51).jpg,8.616417847158717,224.02686403508773
1(52).jpg,8.46881325877056,220.1891447368421
1(53).jpg,8.690220141352796,225.94572368421055
1(54).jpg,8.542615552964639,222.10800438596493
1(55).jpg,8.800923582643915,228.82401315789474
1(56).jpg,8.727121288449837,226.90515350877195
1(57).jpg,8.800923582643915,228.82401315789474
1(58).jpg,8.616417847158717,224.02686403508773
1(59).jpg,8.893176450386514,231.22258771929828
1(60).jpg,9.317539642002467,242.2560307017544
1(61).jpg,8.930077597483553,232.18201754385967
1(62).jpg,9.114583332968751,236.97916666666669
1(63).jpg,9.09613275942023,236.49945175438597
1(64).jpg,9.003879891677633,234.10087719298247
1(65).jpg,8.358109817479441,217.31085526315792
1(66).jpg,8.782473009095396,228.34429824561406
1(67).jpg,9.133033906517271,237.4588815789474
1(68).jpg,8.948528171032073,232.66173245614036
1(69).jpg,8.966978744580592,233.14144736842107
1(70).jpg,9.133033906517271,237.4588815789474
1(71).jpg,9.335990215550988,242.7357456140351
1(72).jpg,9.003879891677633,234.10087719298247
1(73).jpg,9.188385627162829,238.89802631578948
1(74).jpg,8.819374156192435,229.30372807017545
1(75).jpg,9.114583332968751,236.97916666666669
1(76).jpg,9.003879891677633,234.10087719298247
1(77).jpg,9.15148448006579,237.93859649122808
1(78).jpg,9.22528677425987,239.8574561403509
1(79).jpg,9.22528677425987,239.8574561403509
1(80).jpg,9.188385627162829,238.89802631578948
1(81).jpg,9.206836200711349,239.3777412280702
1(82).jpg,9.188385627162829,238.89802631578948
1(83).jpg,9.022330465226153,234.58059210526318
1(84).jpg,9.22528677425987,239.8574561403509
1(85).jpg,9.206836200711349,239.3777412280702
1(86).jpg,8.966978744580592,233.14144736842107
1(92).jpg,9.188385627162829,238.89802631578948
1(93).jpg,9.206836200711349,239.3777412280702
1(94).jpg,9.16993505361431,238.4183114035088
1(96).jpg,9.243737347808388,240.3371710526316
1(98).jpg,9.22528677425987,239.8574561403509
1(99).jpg,9.243737347808388,240.3371710526316
1(100).jpg,9.280638494905428,241.296600877193
1(101).jpg,9.335990215550988,242.7357456140351
1(102).jpg,9.391341936196547,244.1748903508772
1(103).jpg,9.22528677425987,239.8574561403509
1(104).jpg,9.317539642002467,242.2560307017544
1(105).jpg,9.335990215550988,242.7357456140351
1(106).jpg,9.446693656842106,245.61403508771932
1(107).jpg,9.409792509745067,244.65460526315792
1(108).jpg,9.502045377487665,247.05317982456143
1(109).jpg,9.8157051278125,255.20833333333334
1(110).jpg,9.520495951036184,247.5328947368421
1(111).jpg,9.705001686521383,252.33004385964915
1(112).jpg,10.092463731040297,262.4040570175439
1(113).jpg,10.147815451685856,263.843201754386
1(114).jpg,10.258518892976975,266.7214912280702
1(115).jpg,10.166266025234375,264.3229166666667
1(116).jpg,10.313870613622532,268.1606359649123
1(117).jpg,10.53527749620477,273.9172149122807
1(118).jpg,10.387672907816613,270.0794956140351
1(119).jpg,10.68288208459293,277.75493421052636
1(120).jpg,10.590629216850331,275.35635964912285
1(121).jpg,10.664431511044409,277.27521929824564
1(122).jpg,10.664431511044409,277.27521929824564
1(123).jpg,10.627530363947368,276.3157894736842
1(124).jpg,11.125695849757403,289.2680921052632
1(125).jpg,10.793585525884046,280.6332236842105
1(126).jpg,10.830486672981086,281.59265350877195
1(127).jpg,11.088794702660362,288.30866228070175
1(128).jpg,11.088794702660362,288.30866228070175
1(129).jpg,10.996541834917764,285.91008771929825
1(130).jpg,11.384003879436678,295.984100877193
1(131).jpg,11.27330043814556,293.10581140350877
1(132).jpg,10.904288967175164,283.51151315789474
1(133).jpg,11.23639929104852,292.1463815789474
1(134).jpg,11.513157894276317,299.3421052631579
1(135).jpg,11.144146423305923,289.7478070175439
1(136).jpg,11.365553305888158,295.5043859649123
1(137).jpg,11.29175101169408,293.5855263157895
1(138).jpg,11.2179487175,291.6666666666667
1(139).jpg,11.144146423305923,289.7478070175439
1(140).jpg,11.125695849757403,289.2680921052632
1(141).jpg,11.494707320727796,298.8623903508772
1(142).jpg,11.568509614921876,300.78125
1(143).jpg,11.642311909115955,302.70010964912285
1(144).jpg,11.310201585242599,294.0652412280702
1(145).jpg,11.494707320727796,298.8623903508772
1(146).jpg,11.531608467824837,299.82182017543863
1(147).jpg,11.550059041373357,300.30153508771934
1(148).jpg,11.568509614921876,300.78125
1(149).jpg,11.439355600082239,297.4232456140351
1(150).jpg,11.439355600082239,297.4232456140351
1(151).jpg,11.550059041373357,300.30153508771934
1(152).jpg,11.845268218149672,307.9769736842105
1(153).jpg,11.697663629761514,304.13925438596493
1(154).jpg,11.45780617363076,297.90296052631584
1(155).jpg,11.623861335567435,302.22039473684214
1(156).jpg,11.937521085892271,310.3755482456141
1(157).jpg,11.568509614921876,300.78125
1(158).jpg,11.623861335567435,302.22039473684214
1(159).jpg,11.642311909115955,302.70010964912285
1(160).jpg,11.623861335567435,302.22039473684214
1(161).jpg,11.476256747179276,298.3826754385965
1(162).jpg,11.845268218149672,307.9769736842105
1(163).jpg,11.586960188470394,301.2609649122807
1(164).jpg,11.642311909115955,302.70010964912285
1(165).jpg,11.789916497504112,306.53782894736844
1(166).jpg,11.90061993879523,309.41611842105266
1(167).jpg,11.679213056212994,303.6595394736842
1(168).jpg,11.88216936524671,308.93640350877195
1(169).jpg,11.826817644601153,307.49725877192986
1(170).jpg,11.88216936524671,308.93640350877195
1(171).jpg,11.99287280653783,311.81469298245617
1(172).jpg,11.99287280653783,311.81469298245617
1(173).jpg,11.808367071052633,307.01754385964915
1(174).jpg,11.937521085892271,310.3755482456141
