C1/3,a_mm
3.49E-05,55.5294179
3.57E-05,55.36824307
3.60E-05,56.36459658
3.64E-05,55.70524499
3.63E-05,56.84812108
3.66E-05,56.73090302
3.67E-05,56.26203078
3.71E-05,57.09720946
3.71E-05,57.09720946
3.72E-05,57.44886364
3.74E-05,56.89207785
3.77E-05,57.77121331
3.79E-05,56.9799914
3.74E-05,57.8444746
3.79E-05,57.49282041
3.73E-05,57.74190879
3.80E-05,57.44886364
3.81E-05,58.152172
3.78E-05,57.65399525
3.81E-05,57.78586557
3.84E-05,57.24373204
3.81E-05,57.63934299
3.85E-05,58.152172
3.83E-05,58.07891072
3.85E-05,58.26939006
3.85E-05,58.152172
3.88E-05,58.6356965
3.85E-05,58.21078103
3.88E-05,58.48917393
3.90E-05,57.58073396
3.89E-05,59.38296164
3.89E-05,58.88478488
3.91E-05,58.59173973
3.87E-05,58.32799909
3.90E-05,58.65034876
3.91E-05,58.50382619
3.90E-05,58.79687134
3.93E-05,58.70895779
3.92E-05,58.44521716
3.95E-05,58.37195587
3.96E-05,58.35730361
3.93E-05,59.25109132
3.90E-05,58.75291456
3.91E-05,58.29869458
3.93E-05,58.87013262
3.94E-05,58.25473781
3.96E-05,59.04595971
3.94E-05,58.70895779
3.93E-05,58.88478488
3.95E-05,59.119221
3.93E-05,58.32799909
3.99E-05,58.28404232
3.91E-05,59.20713455
3.96E-05,59.06061197
3.95E-05,59.10456875
3.95E-05,59.7053113
3.96E-05,59.13387326
3.96E-05,58.5331307
3.96E-05,59.41226615
3.96E-05,59.54413647
3.96E-05,59.20713455
3.97E-05,59.13387326
4.00E-05,59.23643906
4.01E-05,59.00200294
3.99E-05,59.25109132
3.98E-05,59.41226615
3.98E-05,58.97269843
4.03E-05,58.94339391
4.00E-05,58.5331307
4.01E-05,59.5001797
4.02E-05,59.52948421
4.02E-05,59.76392033
4.01E-05,59.51483196
4.03E-05,59.63205002
4.02E-05,59.29504809
4.01E-05,59.77857259
4.00E-05,59.10456875
4.01E-05,58.97269843
4.01E-05,59.38296164
3.99E-05,59.99835646
3.99E-05,59.64670227
4.04E-05,59.41226615
4.05E-05,58.92874165
4.04E-05,59.63205002
4.03E-05,59.54413647
3.99E-05,59.47087518
4.01E-05,59.42691841
4.01E-05,59.55878873
4.04E-05,59.74926808
3.99E-05,59.5001797
4.05E-05,59.85183388
4.04E-05,59.6027455
4.02E-05,59.82252937
4.06E-05,59.36830938
4.05E-05,59.36830938
4.08E-05,59.52948421
4.08E-05,60.01300871
4.08E-05,59.73461582
4.09E-05,59.95439968
4.08E-05,59.74926808
4.05E-05,59.66135453
4.05E-05,59.67600679
4.08E-05,59.80787711
4.11E-05,59.66135453
4.12E-05,60.14487903
4.15E-05,59.89579065
4.13E-05,60.13022677
4.15E-05,60.07161774
4.16E-05,60.14487903
4.14E-05,60.21814032
4.18E-05,60.11557452
4.20E-05,60.39396741
4.20E-05,60.26209709
4.15E-05,60.23279258
4.17E-05,60.30605386
4.21E-05,60.04231323
4.22E-05,60.84818739
4.21E-05,60.92144868
4.23E-05,60.40861967
4.24E-05,60.76027385
4.25E-05,60.84818739
4.24E-05,60.27674935
4.23E-05,60.55514224
4.23E-05,60.87749191
4.23E-05,61.18518932
4.24E-05,60.89214417
4.22E-05,60.76027385
4.25E-05,60.61375127
4.24E-05,60.83353514
4.23E-05,61.11192803
4.29E-05,61.14123254
4.27E-05,61.06797126
4.27E-05,60.84818739
4.26E-05,61.19984158
4.27E-05,60.93610094
4.31E-05,60.99470997
4.28E-05,61.06797126
4.28E-05,61.27310286
4.33E-05,61.09727577
4.32E-05,61.22914609
4.29E-05,61.47823447
4.30E-05,61.36101641
4.32E-05,61.11192803
4.32E-05,61.39032092
4.31E-05,61.18518932
4.30E-05,61.14123254
4.31E-05,61.09727577
4.26E-05,61.09727577
4.34E-05,61.31705964
4.32E-05,61.1558848
4.30E-05,61.21449383
4.31E-05,61.11192803
4.33E-05,61.11192803
4.34E-05,61.19984158
4.33E-05,61.12658029
4.34E-05,61.18518932
4.33E-05,61.31705964
4.35E-05,61.21449383
4.33E-05,61.1558848
4.34E-05,61.30240738
4.35E-05,61.39032092
4.33E-05,61.40497318
4.33E-05,61.56614801
4.35E-05,61.44892995
4.35E-05,61.39032092
4.36E-05,61.5368435
4.33E-05,61.40497318
4.36E-05,61.58080027
4.32E-05,61.71267059
4.36E-05,61.49288673
4.35E-05,61.17053706
4.37E-05,61.39032092
4.36E-05,61.28775512
4.36E-05,61.34636415
4.38E-05,61.52219124
4.37E-05,61.44892995
4.36E-05,61.55149576
4.38E-05,61.1558848
