Image Number,Distance in mm,Distance in pixels
1(1).jpg,1.2814486228042763,37.89747807017544
1(2).jpg,1.9140624998848683,56.60635964912281
1(3).jpg,2.011387711743421,59.48464912280702
1(4).jpg,2.0924920549588815,61.88322368421053
1(5).jpg,2.189817266817434,64.76151315789474
1(6).jpg,2.2547007413898026,66.68037280701755
1(7).jpg,2.270921610032895,67.16008771929825
1(8).jpg,2.2871424786759866,67.63980263157895
1(9).jpg,2.2547007413898026,66.68037280701755
1(10).jpg,2.433130296463816,71.95723684210527
1(11).jpg,2.627780720180921,77.71381578947368
1(12).jpg,2.7899894066118422,82.51096491228071
1(13).jpg,2.741326800682566,81.0718201754386
1(14).jpg,2.6764433261101974,79.1529605263158
1(15).jpg,2.7251059320394737,80.5921052631579
1(16).jpg,2.7899894066118422,82.51096491228071
1(17).jpg,2.8386520125411185,83.95010964912281
1(18).jpg,2.854872881184211,84.42982456140352
1(19).jpg,2.887314618470395,85.38925438596492
1(20).jpg,2.871093749827303,84.90953947368422
1(21).jpg,2.9521980930427634,87.30811403508773
1(22).jpg,3.3252780718338815,98.34155701754386
1(23).jpg,3.1468485167598685,93.06469298245615
1(24).jpg,3.163069385402961,93.54440789473685
1(25).jpg,3.2766154659046056,96.90241228070177
1(26).jpg,3.195511122689145,94.50383771929825
1(27).jpg,3.4550450209786185,102.17927631578948
1(28).jpg,3.2766154659046056,96.90241228070177
1(29).jpg,3.893008474342105,115.13157894736842
1(30).jpg,3.860566737055921,114.17214912280703
1(31).jpg,3.6010328387664474,106.4967105263158
1(32).jpg,3.909229342985198,115.61129385964914
1(33).jpg,3.8443458684128293,113.69243421052633
1(34).jpg,3.665916313338816,108.4155701754386
1(35).jpg,3.519928495550987,104.09813596491229
1(36).jpg,3.8443458684128293,113.69243421052633
1(37).jpg,3.6821371819819078,108.8952850877193
1(38).jpg,3.7307997879111845,110.33442982456141
1(39).jpg,3.5685911014802634,105.5372807017544
1(40).jpg,3.5848119701233556,106.0169956140351
1(41).jpg,3.7956832624835526,112.25328947368422
1(42).jpg,3.7470206565542763,110.81414473684211
1(43).jpg,3.8443458684128293,113.69243421052633
1(44).jpg,3.6821371819819078,108.8952850877193
1(45).jpg,4.071438029416119,120.40844298245615
1(46).jpg,4.184984109917763,123.76644736842105
1(47).jpg,4.00655455484375,118.48958333333334
1(48).jpg,3.893008474342105,115.13157894736842
1(49).jpg,4.071438029416119,120.40844298245615
1(50).jpg,4.120100635345395,121.84758771929826
1(51).jpg,4.3471927963486845,128.56359649122808
1(52).jpg,4.08765889805921,120.88815789473685
1(53).jpg,4.249867584490132,125.68530701754386
1(54).jpg,4.055217160773027,119.92872807017545
1(55).jpg,4.0389962921299345,119.44901315789474
1(56).jpg,4.103879766702303,121.36787280701755
1(57).jpg,4.136321503988487,122.32730263157896
1(58).jpg,4.168763241274671,123.28673245614036
1(59).jpg,4.120100635345395,121.84758771929826
1(60).jpg,4.217425847203947,124.72587719298247
1(61).jpg,4.168763241274671,123.28673245614036
1(62).jpg,3.990333686200658,118.00986842105264
1(63).jpg,4.249867584490132,125.68530701754386
1(64).jpg,4.184984109917763,123.76644736842105
1(65).jpg,4.152542372631579,122.80701754385966
1(66).jpg,4.3147510590625,127.60416666666667
1(67).jpg,4.363413664991776,129.04331140350877
1(68).jpg,4.168763241274671,123.28673245614036
1(69).jpg,4.3147510590625,127.60416666666667
1(70).jpg,4.298530190419408,127.12445175438597
1(71).jpg,4.23364671584704,125.20559210526316
1(72).jpg,4.217425847203947,124.72587719298247
1(73).jpg,4.249867584490132,125.68530701754386
1(74).jpg,4.217425847203947,124.72587719298247
1(75).jpg,4.330971927705592,128.08388157894737
1(76).jpg,4.460738876850329,131.921600877193
1(77).jpg,4.168763241274671,123.28673245614036
1(78).jpg,4.493180614136513,132.88103070175438
1(79).jpg,4.3147510590625,127.60416666666667
1(80).jpg,4.298530190419408,127.12445175438597
1(81).jpg,4.266088453133224,126.16502192982458
1(82).jpg,4.152542372631579,122.80701754385966
1(83).jpg,4.379634533634868,129.52302631578948
1(84).jpg,4.412076270921053,130.48245614035088
1(85).jpg,4.217425847203947,124.72587719298247
1(86).jpg,4.363413664991776,129.04331140350877
1(87).jpg,4.3471927963486845,128.56359649122808
1(88).jpg,4.282309321776316,126.64473684210527
1(89).jpg,4.574284957351973,135.2796052631579
1(90).jpg,4.363413664991776,129.04331140350877
1(91).jpg,4.412076270921053,130.48245614035088
1(92).jpg,4.3147510590625,127.60416666666667
1(93).jpg,4.476959745493422,132.4013157894737
1(94).jpg,4.428297139564145,130.9621710526316
1(95).jpg,4.460738876850329,131.921600877193
1(96).jpg,4.476959745493422,132.4013157894737
1(97).jpg,4.412076270921053,130.48245614035088
1(98).jpg,4.379634533634868,129.52302631578948
1(99).jpg,4.509401482779605,133.3607456140351
1(100).jpg,4.444518008207237,131.4418859649123
1(101).jpg,4.736493643782895,140.07675438596493
1(102).jpg,4.395855402277961,130.0027412280702
1(103).jpg,4.395855402277961,130.0027412280702
1(104).jpg,4.801377118355263,141.99561403508773
1(105).jpg,4.752714512425987,140.55646929824562
1(106).jpg,4.525622351422697,133.8404605263158
1(107).jpg,4.9635858047861845,146.79276315789474
1(108).jpg,4.62294756328125,136.71875
1(109).jpg,4.882481461570723,144.39418859649123
1(110).jpg,4.752714512425987,140.55646929824562
1(111).jpg,5.190677965789474,153.50877192982458
1(112).jpg,5.15823622850329,152.54934210526318
1(113).jpg,5.044690148001645,149.19133771929825
