Image Number,Distance in mm,Distance in pixels
1(1).jpg,2.1034055308126316,68.86549707602339
1(2).jpg,2.7435724314947367,89.82456140350877
1(3).jpg,3.2465607106021053,106.29239766081871
1(4).jpg,4.526894511966316,148.21052631578948
1(5).jpg,4.389715890391579,143.71929824561403
1(6).jpg,4.7555255479242104,155.69590643274853
1(7).jpg,4.618346926349473,151.20467836257308
1(8).jpg,4.846977962307369,158.69005847953215
1(9).jpg,4.801251755115789,157.19298245614033
1(10).jpg,5.670049691755789,185.63742690058479
1(11).jpg,5.624323484564211,184.140350877193
1(12).jpg,5.7615021061389475,188.6315789473684
1(13).jpg,5.7615021061389475,188.6315789473684
1(14).jpg,5.624323484564211,184.140350877193
1(15).jpg,5.670049691755789,185.63742690058479
1(16).jpg,5.807228313330527,190.12865497076024
1(17).jpg,5.715775898947368,187.13450292397658
1(18).jpg,5.715775898947368,187.13450292397658
1(19).jpg,6.355942799629474,208.093567251462
1(20).jpg,6.264490385246315,205.09941520467834
1(21).jpg,6.264490385246315,205.09941520467834
1(22).jpg,7.133288321886316,233.5438596491228
1(23).jpg,5.807228313330527,190.12865497076024
1(24).jpg,7.133288321886316,233.5438596491228
1(25).jpg,6.355942799629474,208.093567251462
1(26).jpg,6.401669006821052,209.5906432748538
1(27).jpg,6.676026249970526,218.57309941520467
1(28).jpg,6.584573835587368,215.57894736842104
1(29).jpg,7.499097979418948,245.5204678362573
1(30).jpg,6.95038349312,227.55555555555554
1(31).jpg,7.407645565035789,242.52631578947367
1(32).jpg,6.401669006821052,209.5906432748538
1(33).jpg,6.721752457162106,220.0701754385965
1(34).jpg,6.95038349312,227.55555555555554
1(35).jpg,6.630300042778947,217.07602339181284
1(36).jpg,7.36191935784421,241.02923976608184
1(37).jpg,7.179014529077894,235.0409356725146
1(38).jpg,7.2247407362694736,236.53801169590642
1(39).jpg,6.813204871545262,223.0643274853801
1(40).jpg,6.95038349312,227.55555555555554
1(41).jpg,6.996109700311578,229.05263157894734
1(42).jpg,6.630300042778947,217.07602339181284
1(43).jpg,7.133288321886316,233.5438596491228
1(44).jpg,6.584573835587368,215.57894736842104
1(45).jpg,7.270466943461053,238.03508771929825
1(46).jpg,7.133288321886316,233.5438596491228
1(47).jpg,6.721752457162106,220.0701754385965
1(48).jpg,6.767478664353685,221.5672514619883
1(49).jpg,7.36191935784421,241.02923976608184
1(50).jpg,6.721752457162106,220.0701754385965
1(51).jpg,6.584573835587368,215.57894736842104
1(52).jpg,6.95038349312,227.55555555555554
1(53).jpg,6.858931078736842,224.56140350877192
1(54).jpg,7.179014529077894,235.0409356725146
1(55).jpg,6.676026249970526,218.57309941520467
1(56).jpg,6.721752457162106,220.0701754385965
1(57).jpg,6.721752457162106,220.0701754385965
1(58).jpg,6.813204871545262,223.0643274853801
1(59).jpg,7.270466943461053,238.03508771929825
1(60).jpg,7.087562114694737,232.046783625731
1(61).jpg,7.270466943461053,238.03508771929825
1(62).jpg,7.087562114694737,232.046783625731
1(63).jpg,7.087562114694737,232.046783625731
1(64).jpg,7.041835907503158,230.54970760233917
1(65).jpg,6.813204871545262,223.0643274853801
1(66).jpg,7.087562114694737,232.046783625731
1(67).jpg,6.584573835587368,215.57894736842104
1(68).jpg,6.904657285928422,226.05847953216374
1(69).jpg,6.996109700311578,229.05263157894734
1(70).jpg,6.813204871545262,223.0643274853801
1(71).jpg,7.179014529077894,235.0409356725146
1(72).jpg,6.813204871545262,223.0643274853801
1(73).jpg,7.36191935784421,241.02923976608184
1(74).jpg,7.316193150652632,239.53216374269005
1(75).jpg,7.179014529077894,235.0409356725146
1(76).jpg,7.316193150652632,239.53216374269005
1(77).jpg,7.133288321886316,233.5438596491228
1(78).jpg,7.087562114694737,232.046783625731
1(79).jpg,7.36191935784421,241.02923976608184
1(80).jpg,7.2247407362694736,236.53801169590642
1(81).jpg,7.179014529077894,235.0409356725146
1(82).jpg,7.2247407362694736,236.53801169590642
1(83).jpg,7.36191935784421,241.02923976608184
1(84).jpg,6.996109700311578,229.05263157894734
1(85).jpg,7.36191935784421,241.02923976608184
1(86).jpg,7.041835907503158,230.54970760233917
1(92).jpg,7.36191935784421,241.02923976608184
1(93).jpg,7.453371772227369,244.0233918128655
1(94).jpg,7.316193150652632,239.53216374269005
1(96).jpg,6.996109700311578,229.05263157894734
1(98).jpg,7.316193150652632,239.53216374269005
1(99).jpg,7.270466943461053,238.03508771929825
1(100).jpg,6.858931078736842,224.56140350877192
1(101).jpg,7.407645565035789,242.52631578947367
1(102).jpg,7.636276600993685,250.01169590643275
1(103).jpg,8.459348330442104,276.95906432748535
1(104).jpg,7.316193150652632,239.53216374269005
1(105).jpg,7.087562114694737,232.046783625731
1(106).jpg,7.316193150652632,239.53216374269005
1(107).jpg,7.499097979418948,245.5204678362573
1(108).jpg,7.499097979418948,245.5204678362573
1(109).jpg,7.499097979418948,245.5204678362573
1(110).jpg,7.864907636951579,257.4970760233918
1(111).jpg,7.5448241866105255,247.0175438596491
1(112).jpg,8.093538672909473,264.98245614035085
1(113).jpg,8.093538672909473,264.98245614035085
1(114).jpg,8.002086258526317,261.98830409356725
1(115).jpg,8.047812465717895,263.48538011695905
1(116).jpg,7.682002808185263,251.50877192982455
1(117).jpg,8.184991087292632,267.9766081871345
1(118).jpg,8.184991087292632,267.9766081871345
1(119).jpg,7.81918142976,256.0
1(120).jpg,8.505074537633684,278.45614035087715
1(121).jpg,8.413622123250526,275.46198830409355
1(122).jpg,8.093538672909473,264.98245614035085
1(123).jpg,8.459348330442104,276.95906432748535
1(124).jpg,8.184991087292632,267.9766081871345
1(125).jpg,8.779431780783158,287.43859649122805
1(126).jpg,8.184991087292632,267.9766081871345
1(127).jpg,8.093538672909473,264.98245614035085
1(128).jpg,8.64225315920842,282.9473684210526
1(129).jpg,8.505074537633684,278.45614035087715
1(130).jpg,8.505074537633684,278.45614035087715
1(131).jpg,8.870884195166315,290.43274853801165
1(132).jpg,8.916610402357895,291.9298245614035
1(133).jpg,8.825157987974736,288.93567251461985
1(134).jpg,8.367895916058949,273.96491228070175
1(135).jpg,8.825157987974736,288.93567251461985
1(136).jpg,8.916610402357895,291.9298245614035
1(137).jpg,8.73370557359158,285.94152046783626
1(138).jpg,9.099515231124212,297.91812865497076
1(139).jpg,8.916610402357895,291.9298245614035
1(140).jpg,9.008062816741052,294.9239766081871
1(141).jpg,9.190967645507367,300.91228070175436
1(142).jpg,9.14524143831579,299.41520467836256
1(143).jpg,9.14524143831579,299.41520467836256
1(144).jpg,8.505074537633684,278.45614035087715
1(145).jpg,9.14524143831579,299.41520467836256
1(146).jpg,9.008062816741052,294.9239766081871
1(147).jpg,8.64225315920842,282.9473684210526
1(148).jpg,8.505074537633684,278.45614035087715
1(149).jpg,8.870884195166315,290.43274853801165
1(150).jpg,9.190967645507367,300.91228070175436
1(151).jpg,8.870884195166315,290.43274853801165
1(152).jpg,9.099515231124212,297.91812865497076
1(153).jpg,9.236693852698947,302.40935672514615
1(154).jpg,9.190967645507367,300.91228070175436
1(155).jpg,9.190967645507367,300.91228070175436
1(156).jpg,9.190967645507367,300.91228070175436
1(157).jpg,9.053789023932632,296.42105263157896
1(158).jpg,9.236693852698947,302.40935672514615
1(159).jpg,9.236693852698947,302.40935672514615
1(160).jpg,9.14524143831579,299.41520467836256
1(161).jpg,9.328146267082106,305.4035087719298
1(162).jpg,9.099515231124212,297.91812865497076
1(163).jpg,8.870884195166315,290.43274853801165
1(164).jpg,9.556777303039999,312.88888888888886
1(165).jpg,9.236693852698947,302.40935672514615
1(166).jpg,8.916610402357895,291.9298245614035
1(167).jpg,9.328146267082106,305.4035087719298
1(168).jpg,9.648229717423158,315.8830409356725
1(169).jpg,9.190967645507367,300.91228070175436
1(170).jpg,9.328146267082106,305.4035087719298
1(171).jpg,9.008062816741052,294.9239766081871
1(172).jpg,9.14524143831579,299.41520467836256
1(173).jpg,9.14524143831579,299.41520467836256
1(174).jpg,9.099515231124212,297.91812865497076
