Image Number,Distance in mm,Distance in pixels
1(1).jpg,4.395677266036185,143.91447368421055
1(2).jpg,4.278459205608553,140.07675438596493
1(3).jpg,4.11728437252056,134.7998903508772
1(4).jpg,4.073327599860198,133.3607456140351
1(5).jpg,4.542199841570724,148.71162280701756
1(6).jpg,4.293111463162007,140.55646929824562
1(7).jpg,4.175893402734375,136.71875
1(8).jpg,4.19054566028783,137.1984649122807
1(9).jpg,4.307763720715461,141.03618421052633
1(10).jpg,4.146588887627468,135.7593201754386
1(11).jpg,4.234502432948191,138.63760964912282
1(12).jpg,4.381025008482731,143.43475877192984
1(13).jpg,4.175893402734375,136.71875
1(14).jpg,4.571504356677632,149.67105263157896
1(15).jpg,4.161241145180922,136.23903508771932
1(16).jpg,4.087979857413652,133.8404605263158
1(17).jpg,4.19054566028783,137.1984649122807
1(18).jpg,4.205197917841284,137.67817982456143
1(19).jpg,4.131936630074013,135.2796052631579
1(20).jpg,4.11728437252056,134.7998903508772
1(21).jpg,4.205197917841284,137.67817982456143
1(22).jpg,4.102632114967106,134.3201754385965
1(23).jpg,4.11728437252056,134.7998903508772
1(24).jpg,4.161241145180922,136.23903508771932
1(25).jpg,4.11728437252056,134.7998903508772
1(26).jpg,4.659417901998356,152.54934210526318
1(27).jpg,4.7326791897656255,154.94791666666669
1(28).jpg,4.19054566028783,137.1984649122807
1(29).jpg,4.45428629625,145.83333333333334
1(30).jpg,4.19054566028783,137.1984649122807
1(31).jpg,4.615461129337994,151.11019736842107
1(32).jpg,4.52754758401727,148.23190789473685
1(33).jpg,4.6008088717845395,150.63048245614036
1(34).jpg,4.102632114967106,134.3201754385965
1(35).jpg,4.498243068910362,147.27247807017545
1(36).jpg,4.7326791897656255,154.94791666666669
1(37).jpg,4.6740701595518095,153.02905701754386
1(38).jpg,4.835244992639804,158.3059210526316
1(39).jpg,4.879201765300166,159.7450657894737
1(40).jpg,4.7473314473190795,155.42763157894737
1(41).jpg,4.923158537960528,161.1842105263158
1(42).jpg,4.8059404775328955,157.3464912280702
1(43).jpg,4.7912882199794415,156.86677631578948
1(44).jpg,4.7766359624259875,156.3870614035088
1(45).jpg,4.893854022853619,160.22478070175438
1(46).jpg,4.659417901998356,152.54934210526318
1(47).jpg,4.7766359624259875,156.3870614035088
1(48).jpg,4.7766359624259875,156.3870614035088
1(49).jpg,4.7033746746587175,153.98848684210526
1(50).jpg,4.820592735086349,157.82620614035088
1(51).jpg,4.7912882199794415,156.86677631578948
1(52).jpg,4.8059404775328955,157.3464912280702
1(53).jpg,4.7473314473190795,155.42763157894737
1(54).jpg,4.864549507746711,159.265350877193
1(55).jpg,5.655771415633224,185.16995614035088
1(56).jpg,5.890207536488488,192.8453947368421
1(57).jpg,5.919512051595396,193.80482456140354
1(58).jpg,5.816946248721218,190.4468201754386
1(59).jpg,5.948816566702304,194.76425438596493
1(60).jpg,5.948816566702304,194.76425438596493
1(61).jpg,5.963468824255757,195.24396929824562
1(62).jpg,6.022077854469574,197.16282894736844
1(63).jpg,6.7839952472491785,222.10800438596493
1(64).jpg,6.60816815660773,216.3514254385965
1(65).jpg,6.7839952472491785,222.10800438596493
1(66).jpg,6.8132997623560865,223.06743421052633
1(67).jpg,6.710733959481909,219.70942982456143
1(68).jpg,6.710733959481909,219.70942982456143
1(69).jpg,6.7839952472491785,222.10800438596493
