Image Number,Distance in mm,Distance in pixels

1(1).jpg,4.337068235822369,141.99561403508773
1(2).jpg,4.498243068910362,147.27247807017545
1(3).jpg,4.146588887627468,135.7593201754386
1(4).jpg,4.556852099124178,149.19133771929825
1(5).jpg,4.19054566028783,137.1984649122807
1(6).jpg,4.249154690501645,139.1173245614035
1(7).jpg,4.11728437252056,134.7998903508772
1(8).jpg,4.19054566028783,137.1984649122807
1(9).jpg,4.11728437252056,134.7998903508772
1(10).jpg,4.073327599860198,133.3607456140351
1(11).jpg,4.161241145180922,136.23903508771932
1(12).jpg,4.11728437252056,134.7998903508772
1(13).jpg,4.087979857413652,133.8404605263158
1(14).jpg,4.146588887627468,135.7593201754386
1(15).jpg,4.04402308475329,132.4013157894737
1(16).jpg,4.073327599860198,133.3607456140351
1(17).jpg,4.087979857413652,133.8404605263158
1(18).jpg,4.102632114967106,134.3201754385965
1(19).jpg,4.087979857413652,133.8404605263158
1(20).jpg,4.102632114967106,134.3201754385965
1(21).jpg,4.073327599860198,133.3607456140351
1(22).jpg,4.131936630074013,135.2796052631579
1(23).jpg,4.11728437252056,134.7998903508772
1(24).jpg,4.102632114967106,134.3201754385965
1(25).jpg,4.073327599860198,133.3607456140351
1(26).jpg,4.161241145180922,136.23903508771932
1(27).jpg,4.102632114967106,134.3201754385965
1(28).jpg,4.087979857413652,133.8404605263158
1(29).jpg,4.146588887627468,135.7593201754386
1(30).jpg,4.205197917841284,137.67817982456143
1(31).jpg,4.11728437252056,134.7998903508772
1(32).jpg,4.131936630074013,135.2796052631579
1(33).jpg,4.102632114967106,134.3201754385965
1(34).jpg,4.102632114967106,134.3201754385965
1(35).jpg,4.11728437252056,134.7998903508772
1(36).jpg,4.11728437252056,134.7998903508772
1(37).jpg,4.11728437252056,134.7998903508772
1(38).jpg,4.131936630074013,135.2796052631579
1(39).jpg,4.175893402734375,136.71875
1(40).jpg,4.102632114967106,134.3201754385965
1(41).jpg,4.146588887627468,135.7593201754386
1(42).jpg,4.11728437252056,134.7998903508772
1(43).jpg,4.161241145180922,136.23903508771932
1(44).jpg,4.11728437252056,134.7998903508772
1(45).jpg,4.102632114967106,134.3201754385965
1(46).jpg,4.161241145180922,136.23903508771932
1(47).jpg,4.131936630074013,135.2796052631579
1(48).jpg,4.11728437252056,134.7998903508772
1(49).jpg,4.131936630074013,135.2796052631579
1(50).jpg,4.19054566028783,137.1984649122807
1(51).jpg,4.19054566028783,137.1984649122807
1(52).jpg,4.146588887627468,135.7593201754386
1(53).jpg,4.11728437252056,134.7998903508772
1(54).jpg,4.161241145180922,136.23903508771932
1(55).jpg,4.175893402734375,136.71875
1(56).jpg,4.161241145180922,136.23903508771932
1(57).jpg,4.102632114967106,134.3201754385965
1(58).jpg,4.175893402734375,136.71875
1(59).jpg,4.161241145180922,136.23903508771932
1(60).jpg,4.161241145180922,136.23903508771932
1(61).jpg,4.146588887627468,135.7593201754386
1(62).jpg,4.11728437252056,134.7998903508772
1(63).jpg,4.131936630074013,135.2796052631579
1(64).jpg,4.161241145180922,136.23903508771932
1(65).jpg,4.19054566028783,137.1984649122807
1(66).jpg,4.146588887627468,135.7593201754386
1(67).jpg,4.146588887627468,135.7593201754386
1(68).jpg,4.131936630074013,135.2796052631579
1(69).jpg,4.131936630074013,135.2796052631579
1(70).jpg,4.161241145180922,136.23903508771932
1(71).jpg,4.175893402734375,136.71875
